,location,date,total_cases,new_cases,total_deaths,new_deaths,population,population_density,median_age,gdp_per_capita,cvd_death_rate,Country,overall_life_expectancy,Number of doctors per 1000 people
165,Austria,2020-06-13,16994.0,30.0,675.0,1.0,9006400.0,106.749,44.4,45436.686,145.183,Austria,81.4,"5,00515"
323,Belarus,2020-06-13,52520.0,704.0,298.0,5.0,9449321.0,46.858,40.3,17167.967,443.129,Belarus,74.6,"4,8443"
489,Belgium,2020-06-13,59819.0,108.0,9646.0,10.0,11589616.0,375.564,41.8,42658.576,114.898,Belgium,81.5,"2,9654"
582,Bosnia and Herzegovina,2020-06-13,2893.0,62.0,163.0,3.0,3280815.0,68.49600000000001,42.5,11713.895,329.635,Bosnia and Herzegovina,77.3,"1,99225"
678,Bulgaria,2020-06-13,3191.0,105.0,172.0,4.0,6948445.0,65.18,44.7,18563.307,424.6880000000001,Bulgaria,74.9,"3,93125"
841,Croatia,2020-06-13,2249.0,0.0,107.0,1.0,4105268.0,73.726,44.0,22669.797,253.782,Croatia,78.3,"2,9996"
935,Cyprus,2020-06-13,980.0,5.0,18.0,0.0,875899.0,127.657,37.3,32415.132,141.171,Cyprus,80.8,"2,296"
1101,Czech Republic,2020-06-13,9938.0,52.0,329.0,0.0,10708982.0,137.17600000000002,43.3,32605.906000000006,227.485,Czech Republic,79.2,"3,9345"
1267,Denmark,2020-06-13,12099.0,64.0,594.0,1.0,5792203.0,136.52,42.3,46682.515,114.767,Denmark,80.8,"3,8335"
1428,Estonia,2020-06-13,1970.0,5.0,69.0,0.0,1326539.0,31.033,42.7,29481.252,255.569,Estonia,78.6,"3,3564"
1590,Finland,2020-06-13,7073.0,9.0,325.0,0.0,5540718.0,18.136,42.8,40585.721,153.507,Finland,81.7,"3,2966"
1756,France,2020-06-13,156287.0,726.0,29374.0,28.0,65273512.0,122.578,42.0,38605.671,86.06,France,82.5,"3,2239"
1922,Germany,2020-06-13,186022.0,348.0,8781.0,18.0,83783945.0,237.016,46.6,45229.245,156.139,Germany,81.2,"4,04665"
2086,Greece,2020-06-13,3108.0,20.0,183.0,0.0,10423056.0,83.479,45.3,24574.382,175.695,Greece,82.1,"4,7161"
2186,Hungary,2020-06-13,4053.0,14.0,555.0,2.0,9660350.0,108.043,43.4,26777.561,278.296,Hungary,76.7,"3,2284"
2352,Iceland,2020-06-13,1807.0,0.0,10.0,0.0,341250.0,3.404,37.3,46482.958,117.992,Iceland,82.9,"3,6306"
2516,Ireland,2020-06-13,25250.0,12.0,1705.0,2.0,4937796.0,69.874,38.7,67335.293,126.459,Ireland,82.1,"3,3125"
2682,Italy,2020-06-13,236305.0,163.0,34223.0,56.0,60461828.0,205.859,47.9,35220.084,113.151,Italy,83.6,"3,9044"
2781,Latvia,2020-06-13,1096.0,2.0,27.0,1.0,1886202.0,31.212,43.9,25063.846,350.06,Latvia,75.2,"3,1532"
2938,Lithuania,2020-06-13,1756.0,4.0,74.0,0.0,2722291.0,45.135,43.5,29524.265,342.9890000000001,Lithuania,75.7,"4,2507"
3097,Luxembourg,2020-06-13,4055.0,3.0,110.0,0.0,625976.0,231.447,39.7,94277.965,128.275,Luxembourg,82.1,"2,8609"
3196,Malta,2020-06-13,645.0,5.0,9.0,0.0,441539.0,1454.037,42.4,36513.323,168.71099999999996,Malta,82.4,"2,40805"
3292,Moldova,2020-06-13,11093.0,366.0,385.0,10.0,4033963.0,123.655,37.6,5189.972,408.502,Moldova,71.8,"2,4746"
3380,Montenegro,2020-06-13,324.0,0.0,9.0,0.0,628062.0,46.28,39.1,16409.288,387.305,Montenegro,76.8,"2,1523"
3546,Netherlands,2020-06-13,48461.0,210.0,6053.0,9.0,17134873.0,508.544,43.2,48472.545,109.361,Netherlands,82.1,"3,3263"
3712,Norway,2020-06-13,8606.0,12.0,242.0,0.0,5421242.0,14.462,39.7,64800.057,114.316,Norway,82.3,"2,6474"
3812,Poland,2020-06-13,28577.0,376.0,1222.0,7.0,37846605.0,124.027,41.8,27216.445,227.331,Poland,78.5,"2,268"
3915,Portugal,2020-06-13,36180.0,270.0,1505.0,1.0,10196707.0,112.371,46.2,27936.896,127.842,Portugal,81.9,"4,47495"
4079,Romania,2020-06-13,21404.0,222.0,1380.0,11.0,19237682.0,85.12899999999998,43.0,23313.199,370.946,Romania,75.9,"2,552"
4175,Serbia,2020-06-13,12175.0,73.0,252.0,0.0,6804596.0,80.291,41.2,14048.881,439.415,Serbia,75.8,"2,4945"
4275,Slovenia,2020-06-13,1490.0,2.0,109.0,0.0,2078932.0,102.619,44.5,31400.84,153.493,Slovenia,81.2,"2,694"
4440,Spain,2020-06-12,243209.0,502.0,27136.0,0.0,46754783.0,93.105,45.5,34272.36,99.403,Spain,83.4,"3,1541"
4606,Sweden,2020-06-13,49684.0,1396.0,4854.0,40.0,10099270.0,24.718000000000004,41.0,46949.283,133.982,Sweden,82.7,"4,0368"
4772,Switzerland,2020-06-13,30980.0,19.0,1676.0,2.0,8654618.0,214.243,43.1,57410.166,99.739,Switzerland,83.4,"4,0737"
4864,Ukraine,2020-06-13,29753.0,683.0,870.0,16.0,43733759.0,77.39,41.4,7894.393,539.849,Ukraine,72.0,"3,4842"
5030,United Kingdom,2020-06-13,292950.0,1541.0,41481.0,202.0,67886004.0,272.898,40.8,39753.244,122.137,United Kingdom,81.2,"2,7149"
