,country,date,total_cases,new_cases,total_deaths,new_deaths,population,population_density,median_age,gdp_per_capita,cvd_death_rate,overall_life_expectancy,female_life_expectancy,male_life_expectancy,number_of_doctors_per_1000_people
0,Austria,2019-12-31,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
1,Austria,2020-01-01,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
2,Austria,2020-01-02,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
3,Austria,2020-01-03,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
4,Austria,2020-01-04,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
5,Austria,2020-01-05,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
6,Austria,2020-01-06,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
7,Austria,2020-01-07,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
8,Austria,2020-01-08,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
9,Austria,2020-01-09,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
10,Austria,2020-01-10,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
11,Austria,2020-01-11,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
12,Austria,2020-01-12,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
13,Austria,2020-01-13,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
14,Austria,2020-01-14,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
15,Austria,2020-01-15,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
16,Austria,2020-01-16,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
17,Austria,2020-01-17,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
18,Austria,2020-01-18,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
19,Austria,2020-01-19,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
20,Austria,2020-01-20,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
21,Austria,2020-01-21,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
22,Austria,2020-01-22,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
23,Austria,2020-01-23,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
24,Austria,2020-01-24,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
25,Austria,2020-01-25,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
26,Austria,2020-01-26,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
27,Austria,2020-01-27,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
28,Austria,2020-01-28,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
29,Austria,2020-01-29,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
30,Austria,2020-01-30,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
31,Austria,2020-01-31,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
32,Austria,2020-02-01,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
33,Austria,2020-02-02,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
34,Austria,2020-02-03,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
35,Austria,2020-02-04,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
36,Austria,2020-02-05,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
37,Austria,2020-02-06,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
38,Austria,2020-02-07,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
39,Austria,2020-02-08,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
40,Austria,2020-02-09,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
41,Austria,2020-02-10,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
42,Austria,2020-02-11,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
43,Austria,2020-02-12,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
44,Austria,2020-02-13,0.0,0.0,0.0,0.0,9006400.0,106.749,44.4,45436.685999999994,145.183,81.4,83.8,79.0,5.00515
