Country;Overall Life Expectancy;Female Life Expectancy;Male Life Expectancy;Number of doctors per 1000 people
Japan;84.5;87.5;81.1;2,30765
Singapore;83.8;85.8;81.5;1,8461
Italy;83.6;85.5;81.7;3,9044
Spain;83.4;86.1;80.7;3,1541
Switzerland;83.4;85.3;81.1;4,0737
Australia;83.3;85.3;81.3;3,3922
Iceland;82.9;84.4;81.3;3,6306
Israel;82.8;84.4;81.1;3,4866
Sweden;82.7;84.4;80.9;4,0368
France;82.5;85.4;79.6;3,2239
Malta;82.4;84.1;80.5;2,40805
Canada;82.3;84.3;80.3;2,4509
Norway;82.3;84.3;80.3;2,6474
Greece;82.1;84.5;79.6;4,7161
Ireland;82.1;83.7;80.4;3,3125
Luxembourg;82.1;84.2;80.0;2,8609
Netherlands;82.1;83.8;80.4;3,3263
New Zealand;82.1;83.9;80.4;3,2374
Portugal;81.9;84.7;78.8;4,47495
Andorra;81.8;;;3,66665
Finland;81.7;84.6;78.9;3,2966
Belgium;81.5;83.8;79.1;2,9654
Austria;81.4;83.8;79.0;5,00515
Germany;81.2;83.6;78.8;4,04665
Slovenia;81.2;83.9;78.4;2,694
United Kingdom;81.2;83.0;79.5;2,7149
European Union;81.2;83.8;78.6;3,551762787
Cyprus;80.8;82.9;78.7;2,296
Denmark;80.8;82.8;77.8;3,8335
Liechtenstein;80.5;;;
Costa Rica;80.1;82.7;77.5;2,3721
Chile;80.0;82.4;77.6;2,0278
Czech Republic;79.2;81.8;76.6;3,9345
Barbados;79.1;80.4;77.7;2,14765
Lebanon;78.9;80.8;77.1;2,1034
United States;78.9;81.4;76.3;2,5668
Cuba;78.6;80.6;76.7;7,5673
Estonia;78.6;82.4;73.9;3,3564
Poland;78.5;82.4;74.6;2,268
Croatia;78.3;81.5;75.1;2,9996
Panama;78.3;81.6;75.2;1,5687
Turkey;78.3;81.0;75.6;1,75895
United Arab Emirates;77.8;79.2;77.1;1,9953
Uruguay;77.8;81.4;74.0;3,9558
Oman;77.6;80.1;75.9;2,0031
Bosnia and Herzegovina;77.3;79.7;74.8;1,99225
Bahrain;77.2;78.3;76.3;0,95145
Colombia;77.1;79.9;74.3;1,8534
Antigua and Barbuda;76.9;78.0;75.7;2,956
Thailand;76.9;80.7;73.2;0,4651
Ecuador;76.8;79.6;74.1;2,0508
Montenegro;76.8;79.2;74.3;2,1523
Sri Lanka;76.8;80.1;73.4;0,8364
Algeria;76.7;77.9;75.5;1,7536
Hungary;76.7;80.1;73.1;3,2284
Argentina;76.5;79.9;73.1;3,9643
Morocco;76.5;77.7;75.2;0,6814
Peru;76.5;79.3;73.8;1,1411
Tunisia;76.5;78.5;74.5;1,2834
Malaysia;76.1;78.3;74.2;1,30485
Romania;75.9;79.4;72.5;2,552
Serbia;75.8;78.5;73.3;2,4945
Brazil;75.7;79.4;72.0;1,882
Lithuania;75.7;81.2;70.1;4,2507
North Macedonia;75.7;77.7;73.7;2,7744
Kuwait;75.4;76.5;74.7;2,4997
Vietnam;75.3;79.4;71.2;0,8209
Latvia;75.2;79.9;70.1;3,1532
Honduras;75.1;77.4;72.8;0,45355
Mexico;75.0;77.8;72.1;2,2216
Saudi Arabia;75.0;76.6;73.8;2,4607
Armenia;74.9;78.4;71.2;2,8968
Bulgaria;74.9;78.5;71.4;3,93125
Mauritius;74.9;78.4;71.5;1,9318
Belarus;74.6;79.4;69.4;4,8443
Belize;74.5;77.7;71.6;0,97545
Jamaica;74.4;76.0;72.8;0,4348
Jordan;74.4;76.2;72.7;2,2182
Nicaragua;74.3;77.8;70.7;0,8981
Guatemala;74.1;76.9;71.1;0,3549
Paraguay;74.1;76.3;72.2;1,2774
Dominican Republic;73.9;77.2;70.8;1,5434
Marshall Islands;73.9;;;0,5674
Palau;73.7;;;1,5158
Georgia;73.6;78.0;69.2;4,7754
Trinidad and Tobago;73.4;76.1;70.8;2,6498
Seychelles;73.3;77.3;69.8;1,1298
Kazakhstan;73.2;77.3;68.8;3,9483
Samoa;73.2;75.3;71.2;0,36265
El Salvador;73.1;77.6;68.2;1,5811
Azerbaijan;72.9;75.3;70.3;3,4558
Cabo Verde;72.8;76.0;69.3;0,5928
Solomon Islands;72.8;74.7;71.2;0,1937
Libya;72.7;75.8;69.9;1,97915
World;72.6;74.9;70.4;1,447803504
